Time (sec),X,Y
3.454167,0.342600,0.448200
3.458333,0.342600,0.446400
3.462500,0.342000,0.445200
3.466667,0.342000,0.444000
3.470833,0.342000,0.442200
3.475000,0.342600,0.441600
3.479167,0.341400,0.439800
3.483333,0.341400,0.438600
3.487500,0.340800,0.436800
3.491667,0.340800,0.435600
3.495833,0.340200,0.433800
3.500000,0.339000,0.432600
3.504167,0.339000,0.430800
3.508333,0.337800,0.429600
3.512500,0.337200,0.428400
3.516667,0.336600,0.426000
3.520833,0.336000,0.424800
3.525000,0.334800,0.423600
3.529167,0.335400,0.423000
3.533333,0.334200,0.421200
3.537500,0.334200,0.419400
3.541667,0.333600,0.417600
3.545833,0.333600,0.415800
3.550000,0.333000,0.414600
3.554167,0.333000,0.412800
3.558333,0.333000,0.411000
3.562500,0.332400,0.408600
3.566667,0.331800,0.406200
3.570833,0.331800,0.403200
3.575000,0.331200,0.400800
3.579167,0.330600,0.399000
3.583333,0.330000,0.396600
3.587500,0.328800,0.394200
3.591667,0.328200,0.391800
3.595833,0.327600,0.389400
3.600000,0.327000,0.387600
3.604167,0.326400,0.385800
3.608333,0.325800,0.383400
3.612500,0.325800,0.381000
3.616667,0.325800,0.379200
3.620833,0.325800,0.377400
3.625000,0.325800,0.375000
3.629167,0.325200,0.373200
3.633333,0.325800,0.370800
3.637500,0.325800,0.367200
3.641667,0.325200,0.365400
3.645833,0.325200,0.363600
3.650000,0.324600,0.360600
3.654167,0.323400,0.358200
3.658333,0.322200,0.357000
3.662500,0.321600,0.354600
3.666667,0.321000,0.352200
3.670833,0.319800,0.349800
3.675000,0.319800,0.348000
3.679167,0.319200,0.345600
3.683333,0.318600,0.343800
3.687500,0.318600,0.341400
3.691667,0.318600,0.338400
3.695833,0.318600,0.335400
3.700000,0.318600,0.331800
3.704167,0.318000,0.328200
3.708333,0.317400,0.324600
3.712500,0.316800,0.321600
3.716667,0.316800,0.317400
3.720833,0.316200,0.313800
3.725000,0.315600,0.310800
3.729167,0.315000,0.308400
3.733333,0.315000,0.306000
3.737500,0.314400,0.303600
3.741667,0.314400,0.301200
3.745833,0.314400,0.298200
3.750000,0.313800,0.295800
3.754167,0.313200,0.293400
3.758333,0.313200,0.291000
3.762500,0.312000,0.288600
3.766667,0.312000,0.286200
3.770833,0.310800,0.283200
3.775000,0.310200,0.281400
3.779167,0.310200,0.279000
3.783333,0.309600,0.276000
3.787500,0.309600,0.273000
3.791667,0.310200,0.270000
3.795833,0.310200,0.267000
3.800000,0.310800,0.262800
3.804167,0.310800,0.259200
3.808333,0.310200,0.255000
3.812500,0.309600,0.251400
3.816667,0.308400,0.247800
3.820833,0.307200,0.245400
3.825000,0.306600,0.241800
3.829167,0.305400,0.239400
3.833333,0.304800,0.237600
3.837500,0.304800,0.235200
3.841667,0.304800,0.232800
3.845833,0.305400,0.230400
3.850000,0.305400,0.227400
3.854167,0.305400,0.223800
3.858333,0.304800,0.219600
3.862500,0.304800,0.216600
3.866667,0.304200,0.214200
