Time (sec),X,Y,R,Theta,Delta_Time,Delta_X,Delta_Y,Speed_X,Speed_Y,Speed,Acceleration_X,Acceleration_Y,Acceleration,Delta_Theta,Angular_Velocity,Delta_Omega,Angular_Acceleration
0.395063,0.317682,0.807786,0.868009,1.196101,0.004159,-0.000114,-0.011442,-0.047084,-2.714526,2.716344,39.857481,-26.931790,48.103432,-0.001674,-0.382560,-0.020683,-4.587989
0.399221,0.317745,0.804073,0.864578,1.194461,0.004159,0.000072,-0.011341,0.007753,-2.692245,2.692944,41.263374,-5.964393,41.692206,-0.001640,-0.394063,-0.011502,-3.067876
0.403380,0.317851,0.800508,0.861302,1.192826,0.004159,0.000236,-0.011092,0.057423,-2.647529,2.648127,39.748418,13.997578,42.141060,-0.001635,-0.405043,-0.010981,-1.802646
0.407539,0.318036,0.797082,0.858188,1.191152,0.004159,0.000354,-0.010704,0.091666,-2.584061,2.585167,33.364814,31.372706,45.798008,-0.001674,-0.401337,0.003707,-0.584182
0.411697,0.318192,0.793685,0.855092,1.189510,0.004159,0.000447,-0.010388,0.111565,-2.519473,2.521116,24.963540,41.546257,48.469266,-0.001641,-0.396821,0.004515,0.481346
0.415856,0.318394,0.790347,0.852070,1.187832,0.004159,0.000544,-0.010161,0.112954,-2.461327,2.463380,13.353424,44.775549,46.724338,-0.001678,-0.390329,0.006492,1.128068
0.420014,0.318533,0.787098,0.849110,1.186250,0.004159,0.000497,-0.009984,0.105875,-2.420522,2.422542,3.416745,39.325798,39.473948,-0.001582,-0.384651,0.005678,1.618560
0.424173,0.318647,0.783727,0.846028,1.184631,0.004159,0.000455,-0.009958,0.090008,-2.406937,2.408586,-5.183909,27.061302,27.553348,-0.001620,-0.382200,0.002450,1.554999
0.428331,0.318588,0.780355,0.842884,1.183189,0.004159,0.000194,-0.009992,0.063100,-2.423988,2.425203,-11.988430,8.978967,14.978127,-0.001442,-0.376987,0.005213,1.271059
0.432490,0.318597,0.776828,0.839622,1.181592,0.004159,0.000063,-0.010270,0.025767,-2.473353,2.474359,-19.263285,-12.704157,23.075306,-0.001597,-0.374277,0.002710,0.181938
0.436648,0.318533,0.773200,0.836242,1.180015,0.004159,-0.000114,-0.010527,-0.019269,-2.545013,2.546144,-26.277411,-33.202923,42.343080,-0.001577,-0.373564,0.000714,-0.596174
0.440807,0.318453,0.769440,0.832737,1.178385,0.004159,-0.000135,-0.010915,-0.064630,-2.633448,2.634907,-30.714919,-50.368446,58.994801,-0.001631,-0.375953,-0.002389,-1.524171
0.444966,0.318226,0.765437,0.828952,1.176792,0.004159,-0.000371,-0.011391,-0.100623,-2.736183,2.738121,-30.392842,-63.202115,70.130109,-0.001593,-0.390850,-0.014897,-2.466451
0.449124,0.317960,0.761332,0.825061,1.175179,0.004159,-0.000573,-0.011867,-0.123889,-2.844481,2.846816,-25.157809,-72.012375,76.280388,-0.001613,-0.407829,-0.016979,-3.542288
0.453283,0.317766,0.757101,0.821083,1.173411,0.004159,-0.000687,-0.012339,-0.128431,-2.953736,2.956380,-15.342123,-77.019057,78.532260,-0.001768,-0.432780,-0.024951,-4.744570
0.457441,0.317568,0.752782,0.817025,1.171588,0.004159,-0.000657,-0.012655,-0.126419,-3.047811,3.050309,-6.202969,-74.936632,75.192923,-0.001823,-0.449105,-0.016325,-5.686596
0.461600,0.317476,0.748327,0.812886,1.169563,0.004159,-0.000485,-0.013005,-0.112295,-3.128181,3.130180,2.787928,-68.220726,68.277668,-0.002025,-0.474457,-0.025352,-6.506569
0.465758,0.317497,0.743755,0.808687,1.167331,0.004159,-0.000270,-0.013347,-0.088002,-3.187453,3.188653,9.721960,-56.201622,57.036294,-0.002232,-0.502229,-0.027772,-6.762131
0.469917,0.317493,0.739275,0.804568,1.165150,0.004159,-0.000076,-0.013507,-0.043207,-3.226231,3.226931,20.009686,-42.904434,47.341081,-0.002181,-0.533235,-0.031006,-6.443527
0.474075,0.317556,0.734766,0.800451,1.162854,0.004159,0.000080,-0.013561,0.011672,-3.245139,3.245931,29.810036,-28.124669,40.983353,-0.002296,-0.561785,-0.028550,-6.184961
0.478234,0.317623,0.730353,0.796430,1.160579,0.004159,0.000126,-0.013401,0.070895,-3.242963,3.244799,38.209605,-13.348311,40.474082,-0.002276,-0.585365,-0.023581,-5.403236
0.482393,0.317910,0.725878,0.792443,1.157995,0.004159,0.000417,-0.013397,0.127049,-3.223149,3.226819,40.941297,0.741289,40.948007,-0.002584,-0.605021,-0.019656,-4.397688
0.486551,0.318243,0.721503,0.788572,1.155383,0.004159,0.000687,-0.013262,0.174211,-3.180778,3.186514,39.085518,15.476747,42.038167,-0.002612,-0.612344,-0.007323,-2.474505
0.490710,0.318635,0.717247,0.784838,1.152737,0.004159,0.001011,-0.013106,0.210736,-3.124722,3.132152,33.627247,28.433113,44.036731,-0.002646,-0.616702,-0.004358,-0.544051
0.494868,0.318997,0.713024,0.781129,1.150118,0.004159,0.001087,-0.012853,0.233314,-3.066945,3.075288,25.553163,37.562042,45.429849,-0.002619,-0.618970,-0.002268,1.152472
0.499027,0.319343,0.708937,0.777541,1.147566,0.004159,0.001100,-0.012567,0.236942,-3.014915,3.023300,15.084802,39.884747,42.642048,-0.002553,-0.606601,0.012369,2.314674
0.503185,0.319600,0.704891,0.773961,1.145116,0.004159,0.000965,-0.012356,0.216214,-2.979885,2.987616,1.317279,34.828646,34.853548,-0.002450,-0.590819,0.015783,2.595748
0.507344,0.319743,0.700849,0.770341,1.142780,0.004159,0.000746,-0.012175,0.169017,-2.965202,2.971612,-15.461410,24.465940,28.941966,-0.002336,-0.572672,0.018147,1.870101
0.511502,0.319848,0.696644,0.766561,1.140378,0.004159,0.000506,-0.012293,0.109453,-2.991911,2.996478,-30.656979,5.531548,31.152021,-0.002402,-0.567919,0.004752,0.108372
0.515661,0.319806,0.692307,0.762604,1.138055,0.004159,0.000206,-0.012584,0.047955,-3.064542,3.067027,-40.460737,-20.357325,45.293398,-0.002322,-0.575330,-0.007411,-2.237064
0.519820,0.319646,0.687806,0.758453,1.135759,0.004159,-0.000097,-0.013043,-0.003430,-3.183960,3.184685,-41.467867,-52.604241,66.983507,-0.002297,-0.595754,-0.020423,-5.248412
0.523978,0.319536,0.682939,0.753995,1.133170,0.004159,-0.000312,-0.013705,-0.036255,-3.338016,3.337440,-35.038252,-83.227138,90.301914,-0.002589,-0.634301,-0.038547,-8.480311
0.528137,0.319507,0.677844,0.749371,1.130324,0.004159,-0.000299,-0.014463,-0.041918,-3.504432,3.503436,-21.611552,-105.779359,107.964494,-0.002846,-0.683678,-0.049377,-10.635104
0.532295,0.319503,0.672437,0.744482,1.127233,0.004159,-0.000143,-0.015369,-0.017398,-3.660926,3.660659,-3.358805,-114.695275,114.744445,-0.003091,-0.737721,-0.054043,-11.625082
0.536454,0.319608,0.666937,0.739564,1.123913,0.004159,0.000072,-0.016001,0.032882,-3.783504,3.784984,16.625319,-107.125608,108.408012,-0.003320,-0.791225,-0.053504,-11.153860
0.540612,0.319844,0.661472,0.734741,1.120408,0.004159,0.000337,-0.016372,0.103111,-3.856532,3.860684,34.874657,-84.668817,91.569920,-0.003505,-0.838871,-0.047646,-9.434290
0.544771,0.320270,0.656073,0.730072,1.116664,0.004159,0.000767,-0.016364,0.180086,-3.869104,3.876307,47.488496,-50.060001,69.001167,-0.003744,-0.867826,-0.028954,-6.675943
0.548929,0.320742,0.650923,0.725656,1.112966,0.004159,0.001134,-0.016014,0.249011,-3.816471,3.826621,51.972015,-7.927530,52.573150,-0.003698,-0.874007,-0.006181,-3.041703
0.553088,0.321256,0.645963,0.721439,1.109288,0.004159,0.001412,-0.015508,0.300119,-3.713481,3.726189,47.374320,34.399210,58.545981,-0.003678,-0.870098,0.003909,0.479088
0.557247,0.321762,0.641172,0.717378,1.105683,0.004159,0.001492,-0.014902,0.330727,-3.579586,3.593952,36.224314,69.619802,78.480047,-0.003605,-0.854566,0.015532,3.584480
0.561405,0.322208,0.636696,0.713583,1.102310,0.004159,0.001467,-0.014227,0.335241,-3.447335,3.461964,20.735638,88.765503,91.155259,-0.003373,-0.827908,0.026658,5.665265
0.565564,0.322545,0.632296,0.709813,1.099088,0.004159,0.001290,-0.013667,0.309446,-3.337874,3.351343,2.242612,90.321357,90.349194,-0.003223,-0.798604,0.029304,6.057073
0.569722,0.322824,0.627871,0.706001,1.095889,0.004159,0.001062,-0.013300,0.252618,-3.271969,3.283046,-18.782725,73.972104,76.319480,-0.003199,-0.769803,0.028800,4.834872
